,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
19391,1,1,15:36,EV,MIN,11 Z.PARISE(4),22 N.NIEDERREITER(8),14 J.ERIKSSON EK(9),"['11', '14', '20', '22', '26', '46']","['15', '25', '32', '33', '44', '48']",2017,20988,False,True,MIN,ARI,1,0,ARI
19447,7,2,17:07,EV,MIN,9 M.KOIVU(12),11 Z.PARISE(7),64 M.GRANLUND(35),"['9', '11', '22', '24', '25', '64']","['1', '12', '37', '47', '49', '57']",2017,20995,False,True,MIN,COL,1,6,COL
19534,6,3,18:54,EV,NSH,4 R.ELLIS(6),76 P.SUBBAN(35),92 R.JOHANSEN(33),"['4', '9', '13', '33', '76', '92']","['1', '12', '15', '29', '57', '92']",2017,21009,False,True,NSH,COL,3,3,COL
19540,5,2,14:59,EV,CHI,13 T.JURCO(2),5 C.MURPHY(9),2 D.KEITH(27),"['2', '5', '10', '13', '15', '91']","['3', '20', '22', '36', '38', '65']",2017,21010,False,True,CHI,ANA,1,4,ANA
19573,8,3,17:57,PP,TOR,16 M.MARNER(18),8 C.CARRICK(5),44 M.RIELLY(32),"['8', '16', '25', '42', '43', '44']","['8', '22', '28', '31', '45']",2017,21015,False,True,TOR,BUF,3,5,BUF
19598,6,3,18:56,PP,NYI,7 J.EBERLE(23),91 J.TAVARES(36),13 M.BARZAL(51),"['2', '7', '12', '13', '27', '91']","['20', '23', '25', '44', '49']",2017,21019,False,True,NYI,VAN,3,3,VAN
19798,6,3,17:32,EV,PIT,72 P.HORNQVIST(19),71 E.MALKIN(47),58 K.LETANG(35),"['4', '58', '71', '72', '81', '87']","['2', '12', '31', '43', '44', '47']",2017,21055,False,True,PIT,TOR,2,4,TOR
19970,2,1,6:39,EV,TOR,25 J.VAN RIEMSDYK(31),46 R.POLAK(9),51 J.GARDINER(38),"['15', '19', '24', '25', '46', '51']","['10', '17', '40', '82', '93', '95']",2017,21083,False,True,TOR,BUF,2,0,BUF
20035,8,3,16:14,PP,NYI,91 J.TAVARES(32),13 M.BARZAL(53),6 R.PULOCK(18),"['7', '13', '14', '55', '72', '91']","['2', '9', '25', '70', '83']",2017,21092,False,True,NYI,WSH,3,5,WSH
20160,8,3,18:38,EV,STL,27 A.PIETRANGELO(15),17 J.SCHWARTZ(31),29 V.DUNN(17),"['10', '17', '20', '27', '28', '29']","['2', '7', '12', '13', '15', '34']",2017,21113,False,True,STL,CHI,4,4,CHI
20194,6,3,19:13,EV,L.A,23 D.BROWN(22),8 D.DOUGHTY(45),11 A.KOPITAR(52),"['6', '8', '11', '23', '73', '77']","['3', '9', '11', '20', '25', '40']",2017,21119,False,True,L.A,MIN,3,3,MIN
20209,2,2,9:28,EV,CBJ,9 A.PANARIN(23),23 I.COLE(13),55 M.LETESTU(12),"['9', '11', '23', '45', '55', '58']","['26', '30', '46', '58', '89', '90']",2017,21122,False,True,CBJ,NYR,2,0,NYR
20251,1,1,15:06,EV,TOR,25 J.VAN RIEMSDYK(32),16 M.MARNER(42),8 C.CARRICK(8),"['8', '16', '23', '25', '28', '42']","['17', '37', '55', '73', '88', '98']",2017,21127,False,True,TOR,T.B,1,0,T.B
20469,8,3,19:17,EV,PHI,14 S.COUTURIER(31),53 S.GOSTISBEHERE(44),28 C.GIROUX(65),"['11', '14', '17', '28', '53', '93']","['8', '15', '17', '30', '58', '87']",2017,21163,False,True,PHI,PIT,4,4,PIT
20495,8,3,18:31,EV,ANA,14 A.HENRIQUE(22),26 B.MONTOUR(21),4 C.FOWLER(24),"['4', '10', '14', '15', '26', '67']","['6', '16', '25', '29', '33', '46']",2017,21167,False,True,ANA,EDM,4,4,EDM
20561,6,3,16:44,EV,PIT,58 K.LETANG(7),71 E.MALKIN(51),72 P.HORNQVIST(18),"['4', '58', '71', '72', '81', '87']","['35', '42', '51', '52', '77', '83']",2017,21179,False,True,PIT,DET,2,4,DET
