,assists,decision,evenSaves,evenShotsAgainst,evenStrengthSavePercentage,game_id,goals,pim,powerPlaySavePercentage,powerPlaySaves,powerPlayShotsAgainst,savePercentage,saves,shortHandedSavePercentage,shortHandedSaves,shortHandedShotsAgainst,shots,timeOnIce
70,0,W,28,30,93.33333333333333,020034,0,0,100.0,4,4,94.5945945945946,35,100.0,3,3,37,60:00
71,1,L,22,24,91.66666666666666,020035,0,0,100.0,2,2,92.5925925925926,25,100.0,1,1,27,65:00
72,0,W,17,19,89.47368421052632,020035,0,0,100.0,1,1,90.47619047619048,19,100.0,1,1,21,65:00
73,0,L,31,36,86.11111111111111,020036,0,0,77.77777777777779,7,9,83.33333333333334,40,66.66666666666666,2,3,48,59:45
74,0,W,24,24,100.0,020036,0,0,77.77777777777779,7,9,93.93939393939394,31,,0,0,33,59:58
75,0,W,18,19,94.73684210526315,020037,0,0,60.0,3,5,88.0,22,100.0,1,1,25,60:00
76,0,L,24,29,82.75862068965517,020037,0,0,100.0,1,1,84.84848484848484,28,100.0,3,3,33,59:25
77,0,W,18,19,94.73684210526315,020038,0,0,83.33333333333334,5,6,92.5925925925926,25,100.0,2,2,27,59:51
78,0,L,22,25,88.0,020038,0,0,87.5,7,8,88.23529411764706,30,100.0,1,1,34,59:03
79,0,W,34,34,100.0,020039,0,0,100.0,9,9,100.0,43,,0,0,43,60:00
80,0,L,19,20,95.0,020039,0,0,71.42857142857143,5,7,88.88888888888889,24,,0,0,27,60:00
81,0,L,29,30,96.66666666666667,020040,0,0,88.88888888888889,8,9,94.87179487179486,37,,0,0,39,58:21
82,0,W,11,12,91.66666666666666,020040,0,0,100.0,4,4,94.11764705882352,16,100.0,1,1,17,60:00
83,1,L,22,26,84.61538461538461,020041,0,0,33.33333333333333,1,3,79.3103448275862,23,,0,0,29,59:14
84,0,W,30,33,90.9090909090909,020041,0,0,0.0,0,1,88.23529411764706,30,,0,0,34,60:00
85,0,L,16,20,80.0,020042,0,0,90.0,18,20,86.36363636363636,38,100.0,4,4,44,58:36
86,0,W,20,21,95.23809523809523,020042,0,0,76.92307692307693,10,13,88.57142857142857,31,100.0,1,1,35,59:33
87,0,L,20,22,90.9090909090909,020043,0,0,60.0,3,5,85.71428571428571,24,100.0,1,1,28,59:47
88,0,W,24,26,92.3076923076923,020043,0,0,100.0,4,4,93.54838709677419,29,100.0,1,1,31,60:00
89,0,L,30,30,100.0,020044,0,0,85.71428571428571,6,7,94.87179487179486,37,50.0,1,2,39,65:00
90,0,W,21,23,91.30434782608695,020044,0,0,100.0,2,2,92.0,23,,0,0,25,64:41
91,0,W,18,19,94.73684210526315,020045,0,0,100.0,5,5,96.15384615384616,25,100.0,2,2,26,60:00
92,0,L,26,27,96.29629629629629,020045,0,0,50.0,2,4,90.32258064516128,28,,0,0,31,58:16
93,0,W,17,18,94.44444444444444,020046,0,0,100.0,13,13,96.7741935483871,30,,0,0,31,59:53
94,0,L,17,21,80.95238095238095,020046,0,2,71.42857142857143,5,7,80.0,24,100.0,2,2,30,60:00
95,0,L,22,25,88.0,020047,0,0,71.42857142857143,5,7,84.375,27,,0,0,32,58:16
96,0,W,34,38,89.47368421052632,020047,0,0,100.0,3,3,90.2439024390244,37,,0,0,41,60:00
97,0,W,18,18,100.0,020048,0,0,100.0,2,2,100.0,21,100.0,1,1,21,59:56
98,0,L,28,33,84.84848484848484,020048,0,0,50.0,1,2,83.33333333333334,30,100.0,1,1,36,59:45
99,0,W,34,35,97.14285714285714,020049,0,0,100.0,4,4,95.34883720930233,41,75.0,3,4,43,60:37
100,0,L,21,24,87.5,020049,0,0,100.0,1,1,88.88888888888889,24,100.0,2,2,27,60:31
101,0,L,18,22,81.81818181818183,020050,0,0,,0,0,81.81818181818183,18,,0,0,22,58:53
102,0,W,31,33,93.93939393939394,020050,0,0,100.0,4,4,94.5945945945946,35,,0,0,37,60:00
103,0,L,23,26,88.46153846153845,020051,0,0,100.0,2,2,89.65517241379311,26,100.0,1,1,29,59:44
104,0,W,33,33,100.0,020051,0,0,100.0,4,4,100.0,40,100.0,3,3,40,60:00
105,0,L,21,23,91.30434782608695,020052,0,0,71.42857142857143,5,7,88.23529411764706,30,100.0,4,4,34,58:37
106,0,W,22,25,88.0,020052,0,0,100.0,3,3,89.65517241379311,26,100.0,1,1,29,59:52
107,0,W,26,27,96.29629629629629,020053,0,0,100.0,7,7,97.05882352941177,33,,0,0,34,60:00
108,0,L,14,16,87.5,020053,0,0,100.0,9,9,92.3076923076923,24,100.0,1,1,26,58:06
109,0,L,14,17,82.35294117647058,020054,0,0,60.0,3,5,79.16666666666666,19,100.0,2,2,24,40:00
110,0,W,25,28,89.28571428571429,020054,0,0,100.0,5,5,91.17647058823529,31,100.0,1,1,34,60:00
111,0,,6,6,100.0,020054,0,0,100.0,2,2,100.0,8,,0,0,8,17:22
112,0,W,21,21,100.0,020055,0,0,100.0,5,5,100.0,29,100.0,3,3,29,59:59
113,0,L,16,19,84.21052631578947,020055,0,0,100.0,11,11,90.0,27,,0,0,30,59:46
114,0,L,40,43,93.02325581395348,020056,0,0,100.0,1,1,91.30434782608695,42,50.0,1,2,46,63:25
115,0,W,21,23,91.30434782608695,020056,0,0,83.33333333333334,5,6,90.0,27,100.0,1,1,30,62:54
116,0,L,23,24,95.83333333333334,020057,0,0,66.66666666666666,2,3,92.5925925925926,25,,0,0,27,58:50
117,0,W,20,21,95.23809523809523,020057,0,0,100.0,3,3,95.83333333333334,23,,0,0,24,59:55
118,0,W,23,23,100.0,020058,0,0,100.0,2,2,100.0,26,100.0,1,1,26,60:00
119,0,L,16,17,94.11764705882352,020058,0,0,100.0,4,4,95.23809523809523,20,,0,0,21,58:28
120,0,W,27,28,96.42857142857143,020059,0,0,100.0,9,9,97.2972972972973,36,,0,0,37,59:06
121,0,,10,11,90.9090909090909,020059,0,0,,0,0,90.9090909090909,10,,0,0,11,29:59
122,0,L,5,8,62.5,020059,0,0,50.0,1,2,63.63636363636363,7,100.0,1,1,11,30:01
123,0,W,12,14,85.71428571428571,020060,0,0,66.66666666666666,4,6,82.6086956521739,19,100.0,3,3,23,61:57
124,0,L,31,35,88.57142857142857,020060,0,0,95.45454545454545,21,22,91.22807017543859,52,,0,0,57,62:57
125,0,W,24,24,100.0,020061,0,0,85.71428571428571,6,7,94.11764705882352,32,66.66666666666666,2,3,34,60:00
126,0,L,29,36,80.55555555555556,020061,0,0,66.66666666666666,2,3,79.48717948717949,31,,0,0,39,60:00
127,0,W,21,23,91.30434782608695,020062,0,0,75.0,3,4,89.28571428571429,25,100.0,1,1,28,65:00
128,0,L,31,33,93.93939393939394,020062,0,0,83.33333333333334,5,6,92.5,37,100.0,1,1,40,65:00
129,0,L,13,17,76.47058823529412,020063,0,0,63.63636363636363,7,11,74.19354838709677,23,100.0,3,3,31,59:10
130,0,W,19,21,90.47619047619048,020063,0,0,100.0,10,10,93.75,30,100.0,1,1,32,60:00
131,0,L,24,26,92.3076923076923,020064,0,0,66.66666666666666,2,3,90.0,27,100.0,1,1,30,58:30
132,0,W,18,20,90.0,020064,0,0,100.0,5,5,92.3076923076923,24,100.0,1,1,26,59:20
133,0,L,19,22,86.36363636363636,020065,0,0,80.0,4,5,85.71428571428571,24,100.0,1,1,28,58:20
134,0,W,21,22,95.45454545454545,020065,0,0,75.0,3,4,92.5925925925926,25,100.0,1,1,27,60:00
135,0,L,22,25,88.0,020066,0,0,66.66666666666666,2,3,85.71428571428571,24,,0,0,28,59:16
136,0,W,17,19,89.47368421052632,020066,0,0,100.0,2,2,90.9090909090909,20,100.0,1,1,22,59:57
137,0,,6,6,100.0,020067,0,0,,0,0,100.0,6,,0,0,6,19:16
138,0,W,19,21,90.47619047619048,020067,0,0,66.66666666666666,2,3,88.0,22,100.0,1,1,25,59:31
139,0,L,31,33,93.93939393939394,020067,0,2,81.81818181818183,9,11,90.9090909090909,40,,0,0,44,40:00
140,0,W,26,27,96.29629629629629,020068,0,0,77.77777777777779,7,9,92.10526315789474,35,100.0,2,2,38,64:46
141,0,L,38,41,92.6829268292683,020068,0,0,87.5,7,8,92.0,46,100.0,1,1,50,64:47
142,0,W,29,29,100.0,020069,0,0,100.0,7,7,100.0,36,,0,0,36,59:48
143,0,L,17,19,89.47368421052632,020069,0,0,75.0,3,4,86.95652173913044,20,,0,0,23,60:00
144,0,L,25,28,89.28571428571429,020070,0,0,100.0,12,12,92.6829268292683,38,100.0,1,1,41,60:21
145,0,W,19,21,90.47619047619048,020070,0,0,100.0,5,5,92.3076923076923,24,,0,0,26,60:40
146,0,L,21,23,91.30434782608695,020071,0,0,90.0,9,10,91.66666666666666,33,100.0,3,3,36,58:16
147,0,W,24,26,92.3076923076923,020071,0,0,100.0,11,11,94.87179487179486,37,100.0,2,2,39,59:34
148,0,W,25,26,96.15384615384616,020072,0,0,80.0,4,5,93.54838709677419,29,,0,0,31,59:57
149,0,L,26,28,92.85714285714286,020072,0,0,66.66666666666666,2,3,90.32258064516128,28,,0,0,31,57:36
150,0,L,22,23,95.65217391304348,020073,0,0,0.0,0,1,92.0,23,100.0,1,1,25,58:02
151,0,W,34,35,97.14285714285714,020073,0,0,100.0,7,7,97.67441860465115,42,100.0,1,1,43,60:00
152,0,L,17,20,85.0,020074,0,0,80.0,4,5,84.0,21,,0,0,25,59:45
153,0,W,30,31,96.7741935483871,020074,0,0,100.0,3,3,97.05882352941177,33,,0,0,34,60:00
154,0,L,9,14,64.28571428571429,020075,0,0,100.0,4,4,75.0,15,100.0,2,2,20,24:35
155,0,,11,12,91.66666666666666,020075,0,0,66.66666666666666,2,3,86.66666666666667,13,,0,0,15,35:25
156,0,W,24,26,92.3076923076923,020075,0,0,50.0,1,2,89.28571428571429,25,,0,0,28,60:00
157,0,W,31,31,100.0,020076,0,0,83.33333333333334,5,6,97.36842105263158,37,100.0,1,1,38,60:00
158,0,L,16,19,84.21052631578947,020076,0,0,100.0,3,3,86.95652173913044,20,100.0,1,1,23,55:28
159,0,W,25,26,96.15384615384616,020077,0,0,75.0,3,4,93.54838709677419,29,100.0,1,1,31,60:00
160,0,L,16,18,88.88888888888889,020077,0,0,88.88888888888889,8,9,88.88888888888889,24,,0,0,27,57:54
161,0,L,22,24,91.66666666666666,020078,0,0,88.88888888888889,8,9,91.17647058823529,31,100.0,1,1,34,59:47
162,0,W,16,16,100.0,020078,0,0,100.0,3,3,100.0,24,100.0,5,5,24,59:41
163,0,W,26,27,96.29629629629629,020079,0,0,75.0,3,4,93.93939393939394,31,100.0,2,2,33,64:59
164,0,L,28,29,96.55172413793103,020079,0,0,92.85714285714286,13,14,95.34883720930233,41,,0,0,43,64:59
165,0,,17,20,85.0,020080,0,0,66.66666666666666,2,3,82.6086956521739,19,,0,0,23,45:06
166,0,L,18,23,78.26086956521739,020080,0,0,100.0,2,2,80.76923076923077,21,100.0,1,1,26,64:46
167,0,W,2,3,66.66666666666666,020080,0,0,,0,0,66.66666666666666,2,,0,0,3,19:54
168,0,W,25,27,92.5925925925926,020081,0,0,100.0,1,1,92.85714285714286,26,,0,0,28,60:34
169,0,L,23,26,88.46153846153845,020081,0,0,,0,0,88.46153846153845,23,,0,0,26,60:34
170,0,W,26,28,92.85714285714286,020082,0,0,100.0,12,12,95.0,38,,0,0,40,60:00
171,0,L,21,22,95.45454545454545,020082,0,0,50.0,1,2,88.46153846153845,23,50.0,1,2,26,57:33
172,0,W,27,27,100.0,020083,0,0,0.0,0,1,96.875,31,100.0,4,4,32,60:00
173,0,L,24,26,92.3076923076923,020083,0,0,100.0,1,1,92.85714285714286,26,100.0,1,1,28,58:30
174,0,W,22,25,88.0,020084,0,0,87.5,7,8,87.87878787878788,29,,0,0,33,61:06
175,0,L,28,31,90.32258064516128,020084,0,0,50.0,2,4,85.71428571428571,30,,0,0,35,61:25
176,0,W,16,17,94.11764705882352,020085,0,0,100.0,8,8,96.29629629629629,26,100.0,2,2,27,59:59
177,0,L,22,23,95.65217391304348,020085,0,0,75.0,3,4,89.28571428571429,25,0.0,0,1,28,55:35
178,0,W,20,20,100.0,020086,0,0,50.0,2,4,92.0,23,100.0,1,1,25,59:52
179,0,L,15,17,88.23529411764706,020086,0,0,75.0,3,4,86.95652173913044,20,100.0,2,2,23,59:46
180,0,L,27,29,93.10344827586206,020087,0,0,75.0,6,8,89.47368421052632,34,100.0,1,1,38,62:18
181,0,W,25,26,96.15384615384616,020087,0,0,60.0,3,5,90.625,29,100.0,1,1,32,62:16
182,0,W,22,24,91.66666666666666,020088,0,0,100.0,2,2,92.3076923076923,24,,0,0,26,60:00
183,0,L,21,25,84.0,020088,0,0,100.0,2,2,85.71428571428571,24,100.0,1,1,28,58:40
184,0,L,18,20,90.0,020089,0,0,75.0,3,4,87.5,21,,0,0,24,58:58
185,0,W,20,21,95.23809523809523,020089,0,0,100.0,13,13,97.14285714285714,34,100.0,1,1,35,60:00
186,0,L,35,35,100.0,020090,0,0,50.0,1,2,97.2972972972973,36,,0,0,37,58:15
187,0,W,37,37,100.0,020090,0,2,100.0,1,1,100.0,38,,0,0,38,60:00
188,0,W,22,23,95.65217391304348,020091,0,0,50.0,2,4,90.0,27,100.0,3,3,30,59:57
189,0,L,25,28,89.28571428571429,020091,0,0,80.0,4,5,87.87878787878788,29,,0,0,33,58:49
190,0,W,26,29,89.65517241379311,020092,0,0,100.0,5,5,91.42857142857143,32,100.0,1,1,35,60:00
191,0,L,20,26,76.92307692307693,020092,0,0,100.0,2,2,78.57142857142857,22,,0,0,28,60:00
192,0,L,16,18,88.88888888888889,020093,0,0,100.0,9,9,93.33333333333333,28,100.0,3,3,30,58:26
193,0,W,21,22,95.45454545454545,020093,0,0,100.0,6,6,96.66666666666667,29,100.0,2,2,30,59:43
194,0,L,27,29,93.10344827586206,020094,0,0,0.0,0,2,87.5,28,100.0,1,1,32,59:34
195,0,W,24,25,96.0,020094,0,0,100.0,2,2,96.29629629629629,26,,0,0,27,60:00
196,0,L,25,28,89.28571428571429,020095,0,0,,0,0,90.0,27,100.0,2,2,30,57:09
197,0,W,30,31,96.7741935483871,020095,0,0,100.0,3,3,97.05882352941177,33,,0,0,34,60:00
198,0,L,16,18,88.88888888888889,020096,0,0,75.0,3,4,86.36363636363636,19,,0,0,22,60:36
199,0,W,23,25,92.0,020096,0,0,100.0,4,4,93.10344827586206,27,,0,0,29,60:37
200,0,,5,5,100.0,020097,0,0,,0,0,100.0,5,,0,0,5,7:04
201,0,L,19,23,82.6086956521739,020097,0,2,80.0,4,5,79.3103448275862,23,0.0,0,1,29,49:10
202,0,W,21,21,100.0,020097,0,0,71.42857142857143,5,7,93.33333333333333,28,100.0,2,2,30,52:42
203,0,,2,3,66.66666666666666,020097,0,0,,0,0,66.66666666666666,2,,0,0,3,10:40
204,0,W,16,17,94.11764705882352,020098,0,0,100.0,7,7,96.0,24,100.0,1,1,25,60:00
205,0,L,23,24,95.83333333333334,020098,0,0,75.0,9,12,89.47368421052632,34,100.0,2,2,38,58:26
206,0,,15,19,78.94736842105263,020099,0,0,100.0,1,1,80.0,16,,0,0,20,33:15
207,0,W,8,8,100.0,020099,0,0,50.0,1,2,90.9090909090909,10,100.0,1,1,11,31:45
208,0,,7,10,70.0,020099,0,0,0.0,0,1,63.63636363636363,7,,0,0,11,20:00
209,0,L,13,13,100.0,020099,0,0,83.33333333333334,5,6,94.73684210526315,18,,0,0,19,44:15
210,0,W,22,23,95.65217391304348,020100,0,0,100.0,9,9,97.05882352941177,33,100.0,2,2,34,59:57
211,0,L,30,32,93.75,020100,0,0,100.0,2,2,94.28571428571428,33,100.0,1,1,35,57:51
212,0,L,22,25,88.0,020101,0,0,75.0,3,4,86.66666666666667,26,100.0,1,1,30,58:21
213,0,,14,16,87.5,020101,0,0,50.0,1,2,83.33333333333334,15,,0,0,18,45:09
214,0,W,7,7,100.0,020101,0,0,100.0,2,2,100.0,9,,0,0,9,14:51
215,0,W,16,16,100.0,020102,0,0,50.0,2,4,90.47619047619048,19,100.0,1,1,21,59:38
216,0,L,13,15,86.66666666666667,020102,0,0,66.66666666666666,2,3,84.21052631578947,16,100.0,1,1,19,59:11
217,0,L,8,10,80.0,020103,0,0,87.5,7,8,86.36363636363636,19,100.0,4,4,22,57:17
218,0,W,29,30,96.66666666666667,020103,0,0,100.0,9,9,97.67441860465115,42,100.0,4,4,43,59:52
219,0,W,33,36,91.66666666666666,020104,0,0,100.0,9,9,93.33333333333333,42,,0,0,45,59:39
220,0,L,17,20,85.0,020104,0,0,90.9090909090909,10,11,87.09677419354838,27,,0,0,31,58:41
221,0,L,19,23,82.6086956521739,020105,0,0,100.0,2,2,84.0,21,,0,0,25,55:19
222,0,W,17,17,100.0,020105,0,0,66.66666666666666,2,3,95.0,19,,0,0,20,60:00
223,0,W,15,16,93.75,020106,0,0,100.0,6,6,95.65217391304348,22,100.0,1,1,23,59:22
224,0,L,15,18,83.33333333333334,020106,0,0,100.0,6,6,87.5,21,,0,0,24,58:29
225,0,W,18,20,90.0,020107,0,0,75.0,3,4,88.88888888888889,24,100.0,3,3,27,62:12
226,0,L,23,26,88.46153846153845,020107,0,0,85.71428571428571,6,7,88.23529411764706,30,100.0,1,1,34,62:30
227,0,W,27,30,90.0,020108,0,0,100.0,6,6,91.8918918918919,34,100.0,1,1,37,63:19
228,0,L,25,27,92.5925925925926,020108,0,0,0.0,0,2,87.09677419354838,27,100.0,2,2,31,63:16
229,0,W,24,25,96.0,020109,0,0,100.0,11,11,97.36842105263158,37,100.0,2,2,38,59:56
230,0,L,19,22,86.36363636363636,020109,0,0,100.0,3,3,88.0,22,,0,0,25,59:13
231,1,W,20,23,86.95652173913044,020110,0,0,87.5,7,8,87.09677419354838,27,,0,0,31,63:43
232,0,L,25,30,83.33333333333334,020110,0,0,100.0,1,1,85.29411764705883,29,100.0,3,3,34,63:27
233,0,L,19,20,95.0,020111,0,0,100.0,6,6,92.5925925925926,25,0.0,0,1,27,57:21
234,0,W,26,26,100.0,020111,0,0,100.0,5,5,100.0,31,,0,0,31,60:00
235,0,L,20,22,90.9090909090909,020112,0,0,,0,0,90.9090909090909,20,,0,0,22,63:07
236,0,W,23,24,95.83333333333334,020112,0,0,100.0,7,7,96.7741935483871,30,,0,0,31,63:12
237,0,W,15,16,93.75,020113,0,2,100.0,1,1,94.44444444444444,17,100.0,1,1,18,60:00
238,0,L,31,32,96.875,020113,0,0,90.9090909090909,10,11,95.45454545454545,42,100.0,1,1,44,58:47
239,0,W,20,21,95.23809523809523,020114,0,0,100.0,1,1,96.0,24,100.0,3,3,25,59:23
240,0,L,33,37,89.1891891891892,020114,0,0,100.0,3,3,90.2439024390244,37,100.0,1,1,41,60:00
241,0,L,20,24,83.33333333333334,020115,0,0,100.0,2,2,84.61538461538461,22,,0,0,26,60:00
242,0,W,43,43,100.0,020115,0,0,0.0,0,1,97.77777777777777,44,100.0,1,1,45,60:00
243,0,L,45,49,91.83673469387756,020116,0,2,80.0,4,5,90.74074074074075,49,,0,0,54,59:01
