,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor_On_Ice,Home_On_Ice,Season,gameId,Visitor_Goalie_On_Ice,Home_Goalie_On_Ice,Visitor,Home,Visitor_Score,Home_Score,Difference
1232,3,2,01:15,EV,EDM, A.CHIASSON, C.MCDAVID, A.LARSSON,"['6', '29', '39', '77', '93', '97']","['39', '43', '45', '65', '71', '83']",2018,020197,False,True,EDM,DET,2,1,1
1430,7,2,05:34,EV,BUF, J.SKINNER, J.EICHEL, J.POMINVILLE,"['9', '19', '21', '26', '29', '53']","['8', '13', '26', '31', '65', '92']",2018,020230,False,True,BUF,MTL,4,3,1
2354,1,1,12:17,EV,NYI, A.LEE, M.BARZAL, S.MAYFIELD,"['3', '12', '13', '24', '27', '29']","['40', '43', '46', '47', '48', '74']",2018,020382,False,True,NYI,BOS,1,0,1
2644,4,1,19:46,EV,DET, G.NYQUIST, D.LARKIN, M.GREEN,"['14', '21', '25', '26', '27', '71']","['22', '23', '24', '26', '28', '40']",2018,020429,False,True,DET,TOR,3,1,2
3348,6,2,11:53,EV,OTT, M.DUCHENE, B.RYAN, C.JAROS,"['9', '18', '61', '72', '83', '95']","['1', '16', '37', '45', '47', '63']",2018,020542,False,True,OTT,N.J,2,4,-2
3457,3,1,19:18,EV,DET, M.RASMUSSEN, D.LARKIN, N.JENSEN,"['3', '14', '27', '55', '61', '71']","['3', '24', '29', '34', '40', '51']",2018,020563,False,True,DET,TOR,2,1,1
3896,1,1,06:52,EV,VGK, N.SCHMIDT, B.HUNT, T.NOSEK,"['41', '75', '77', '81', '88', '92']","['14', '23', '25', '26', '36', '45']",2018,020635,False,True,VGK,ANA,1,0,1
486,3,1,18:37,EV,OTT, K.TURRIS, J.COWEN, B.RYAN,"['21', '34', '42', '44', '46', '81']","['2', '6', '7', '14', '65', '93']",2014,20089,True,False,TOR,OTT,1,2,1
1279,2,2,06:42,EV,NYR, K.HAYES, D.MOORE, M.HUNWICK,"['1', '2', '22', '25', '29', '55']","['12', '13', '22', '28', '44', '62']",2014,20233,True,False,COL,NYR,1,1,0
1584,4,2,11:18,EV,VAN, J.HANSEN, A.EDLER, C.TANEV,"['17', '21', '23', '31', '39', '47']","['8', '17', '22', '23', '33', '36']",2014,20288,True,False,ANA,VAN,2,2,0
2313,1,1,06:12,SH,PHI, S.COUTURIER, M.READ,,"['2', '7', '9', '21', '35', '68']","['5', '14', '22', '24', '55']",2014,20423,True,False,N.J,PHI,0,1,1
2685,6,2,09:19,EV,EDM, M.ARCOBELLO, S.PINIZZOTTO, M.HENDRICKS,"['2', '6', '14', '32', '72', '91']","['4', '13', '19', '23', '24', '26']",2014,20492,True,False,DAL,EDM,2,4,2
2894,3,1,16:12,EV,BOS, G.CAMPBELL, T.KRUG, C.SODERBERG,"['15', '21', '26', '27', '35', '65']","['11', '21', '23', '34', '47', '86']",2014,20529,True,False,DET,BOS,1,2,1
3469,2,1,16:42,EV,BOS, B.MARCHAND, C.SODERBERG, T.KRUG,"['8', '10', '11', '23', '25', '30']","['34', '46', '47', '63', '86', '88']",2014,20630,True,False,T.B,BOS,1,1,0
3783,1,1,01:48,EV,WSH, A.OVECHKIN, A.BURAKOVSKY, M.GREEN,"['5', '8', '10', '35', '67', '86']","['8', '19', '38', '52', '65', '90']",2014,20685,True,False,EDM,WSH,0,1,1
